NAME,ERA5_Land,FLUXCOM,GLEAM,GLDAS20_NOAH36,GLDAS20_CLSM25,GLDAS20_VIC412,GLDAS21_NOAH36,GLDAS21_CLSM25,GLDAS21_VIC412,GLDAS22_CLSM25,JRA55,MERRA2,MOD16,SSEBop
WINISK,419.02652596354017,333.6623902374162,436.6913543128394,371.29386240087626,518.5228119905012,174.20541517689213,440.78657137839184,611.9215026794159,269.8097346390438,94.32847536253999,483.61268070818335,569.2494841468515,370.4045670868295,327.26351613933076
COPPER,149.3290365095187,,231.0754909619739,206.21327693682696,322.9584865328743,122.60779877715939,191.37613646504414,364.49625216023685,105.6129602872023,155.5637144600265,329.61531605885557,319.80930787046486,,210.29245740333053
NOTTAWAY,482.69358606958014,401.0428446096138,579.8218124744948,471.0992476993073,645.9736471221617,220.97066658405524,573.7848525596839,847.7912460948361,325.8178163414089,21.422740689862053,567.5563281743777,729.3678724662984,442.72585136606597,383.88416662601753
TALAS,327.40860749512115,260.0432654426224,200.01486201482734,256.2015618034563,281.1509943989968,150.00331012061628,294.84658611552834,335.6317243655264,189.2818749824381,258.86369075701214,402.577990957078,261.55636952153486,183.75795273547766,122.90569813162483
MARONI,1272.3384129972767,1452.6475509018196,1661.4609370134233,1327.5032806119632,1439.4748291227975,937.0948199588104,1645.8249095950946,1625.193688945018,1143.9313031824297,930.5850890842634,1376.1102101554193,1864.5922166892815,1530.3420288037883,1470.1182493679705
ANDERSON,250.0076560397496,224.49884889382594,277.51803685556376,168.59964614077543,175.87171848045776,104.65592968171427,210.05003265866148,238.6240320867485,178.69665728446458,195.6670696486893,243.3331130374407,295.2675112466503,221.45269672633216,259.80640541370315
GUADIANA,498.27948110054547,417.65741989098933,427.70867746472356,400.10450325835507,486.1471895854296,308.7754798037481,492.26569582533085,600.691147900526,379.67958557057807,414.7470712456363,452.47665821218516,421.25465101811534,299.7830268942859,430.7642675761198
ESSEQUIBO,1244.0817481470058,1381.8261899713425,1421.2909277766335,1168.0892519668866,1471.8219682037584,869.3938630684986,1493.5154407537968,1659.2346190645028,1075.8158998317178,1046.766364741079,1220.076876488007,1456.2679821408783,1400.409673852714,1488.059907470537
SUSQUEHANNA,754.6992017166317,695.5573145230292,732.6345168151739,756.6862617196354,950.2807596866212,449.68406066986626,835.4380902826308,1094.799979218826,559.5851598427282,825.5933512534375,716.2128506077892,882.7293771469683,687.0266189782404,617.7345897516569
JEQUITINHONHA,813.5587202817958,1219.862168869732,854.7419843069359,844.6318833167836,900.288437593959,627.9517709341669,889.9503941221216,907.9945913553736,649.2154552872652,971.4745022397676,835.72177488089,851.6656262354084,1003.0044409945376,935.9032599276118
TAGUS,567.6342690035439,462.56235111563444,462.99421167073007,415.3491185156031,503.394069333066,329.9873081640998,501.75473617491014,618.6363698826964,406.09424056654336,480.9006199992772,514.8244237875881,445.65209469264545,342.8881262094794,420.1336035881187
JACUI,1108.7046923283783,1049.6405986949628,892.709761902974,976.7777492320114,1100.1153577688801,604.2847765418568,1103.4517798523052,1122.7925972304813,726.6641200582318,745.2422013081216,854.9938092975974,1261.3889864402968,937.8051702637724,797.6393380215635
GAMBIA,582.6001311492486,966.2588715045473,627.0622409759721,600.3723343373636,894.8892077705452,354.7799840843569,699.7205511429522,877.9969027734493,423.90754580505654,854.0500352273186,696.8290188328945,726.1718653719881,506.220020731363,998.0414821630638
DNIESTR,599.0879119876288,531.6629176620006,495.8001582810149,513.9034650615338,530.6025527826065,326.7986191748462,636.8620722079548,688.4409913345277,412.6338059253791,535.2288583160289,648.6002132896226,598.9260252162848,472.1013976810956,416.10784641508207
SEINE,656.1646753255546,593.8031414271024,483.58125253070085,568.2337680762405,619.039258159597,376.0864391849642,606.1713730008348,688.2922750374586,426.78971499447454,609.703793305125,566.857956511754,653.2263289054279,543.1220336648855,452.8540140341812
PO,601.0389340000771,594.2641344667369,552.3747852594659,538.2864302865568,682.1096634348601,353.78601665403835,603.0942957883531,741.2552572621546,462.3707333655704,753.2528155511706,581.139853442822,665.8278298854309,588.3376066091192,428.10474467996085
JAGUARIBE,657.1291719646489,1125.6402956639645,613.8925869057181,651.4104755538395,669.0472421763957,508.1257885936476,718.267792422383,720.3612373422071,564.307494020029,711.4754884812334,841.3373348579792,774.3782076388483,827.810508816098,1104.0365760998498
UVS NUUR,329.0338127061657,306.6473467019006,321.6567486099759,280.0672660310612,304.97111965348387,178.29609531050585,275.3097659614133,293.9839641550402,231.81084209336922,248.94571824775852,455.767791693266,245.32929209595505,258.27526324150097,209.36578672712562
GASCOYNE,211.6979773033614,156.27234640488243,195.60429851195028,205.96855643350096,192.7449156828762,197.15381448114584,257.08394067788464,244.77506903140375,238.73000872576694,148.90155826195814,252.9247565721158,333.88787766385315,75.87867798425076,231.7276492997752
ZHEM,292.93845487978905,258.3499646147374,178.64857638266318,212.46401608054344,207.91931857733834,143.8647510783289,289.4786649059504,294.72475397699486,168.6464862163203,185.35865532431586,444.63926936733077,236.9738463443595,156.79484899860014,197.97614443363463
SASSANDRA,1058.2483131863212,1351.210074960209,1060.3819830235989,956.5073763966668,1380.9637674287574,673.0728945963261,1120.8809955088386,1350.240455009552,830.3147589891321,1240.7630057808412,1051.64311252177,1167.392536031623,1250.3012843794882,1222.4973624596216
MAHAKAM,1345.402849681484,1471.2454594404403,1530.6856812456704,1198.0927945093554,1208.9175807199633,961.5298567576947,1516.0040772664927,1963.4086964963676,1202.4314172521242,906.2553406281056,1398.7651800669275,1656.5531572256982,1361.6548349477698,1303.8342083137259
MEZEN,321.7315220977763,276.6655912559421,378.40778924928975,336.143516296219,477.32277291082266,202.1934652876626,387.4828905969709,630.5977441160715,248.23108261912375,164.79267524338792,428.9115608212219,477.89194856838196,347.84384177372493,351.64515922770187
SACRAMENTO,514.9702353339801,522.361040777797,541.3666429610048,517.8446588175796,642.9007486593101,369.02674448006417,568.8653618509537,674.2662791304208,413.888800661806,269.527596356773,632.8143295997795,556.6569733781155,397.2436132569571,593.4296298208332
YAQUI,469.5842748471955,554.8599837261183,517.9249174802948,447.2403245298491,407.04494501746825,394.03855347560886,544.532660126289,520.9433962666096,483.1620483068609,452.35066437056037,697.9119342172461,463.2692686323703,341.601480757626,638.200739307823
