NAME,CPC,CRU,ERA5_Land,GLDAS20,GPCC,GPCP,GPM,JRA55,MERRA2,MSWEP,TRMM
WINISK,522.6268364151281,605.548390087791,727.46871556972,631.0312198073099,620.9479980037142,615.1614835706112,665.4566907059143,736.9802364622892,739.1438667898091,653.9425337185343,
COPPER,773.3305243527712,779.3829108283999,1146.9051703901762,685.4492642180882,672.5158778398693,1064.1371493442684,972.5663327905189,1264.9610590943842,1129.012448276805,1393.4759117290398,
NOTTAWAY,783.6124439330348,832.7848014790932,1008.9071166731958,884.739991245814,949.9069572110384,951.2590516875619,905.9570999763024,1068.2706620179058,940.2335994023055,962.3856555406971,
TALAS,305.4598990144568,283.42095924603115,423.5179987255771,291.2550098083441,269.135827928394,327.2522915870105,345.0694129511353,401.86555969808865,281.29368907660694,279.00109947613623,332.0383253580598
MARONI,2304.3950650019437,2394.045821248944,1785.9507273369513,2409.995893954703,2415.0461231685995,2214.1405675756587,2506.894283033496,1941.4906332228506,2344.554091350543,2591.2753557188503,2519.923221191064
ANDERSON,299.8275248489614,196.69889786915505,292.2696827604788,190.97526436858624,221.42507414245816,252.91921115809524,222.92557766942963,347.0799281495619,367.86270284093706,285.6428968088437,
GUADIANA,449.6369986562619,484.3066816285694,508.77113390167887,519.0937979857271,513.9962192090139,678.7931575986464,577.6972892157611,490.2588800509453,455.24308608581293,513.8904732783277,577.4085089630565
ESSEQUIBO,1703.5970838993762,2287.6167534171245,2081.666519262994,2506.4828882908055,2162.4363595567834,2194.5803411576903,2257.736911517471,1917.2087638081982,1738.337531267122,2107.915669792024,2370.9701313041332
SUSQUEHANNA,1112.617401055687,964.750272459637,1154.518370283085,1126.7099570915984,1115.1408583607813,1291.2322620717744,1275.3195521455996,1188.1485091870986,1122.2103114767851,1124.456322723521,1251.8706720784717
JEQUITINHONHA,983.3324799791004,910.9953253836493,940.1265974326059,1031.1577030762528,986.3003137444399,1112.5850773395694,1099.0992406560542,1011.2050524279296,946.7528056083192,1002.880155034613,1091.798119483407
TAGUS,477.28910376892964,524.4013906758726,622.1003582735459,557.8299380881275,576.7135088489232,625.7350069944434,617.5800580677942,546.226406936313,503.61671041236076,567.5986368174895,679.4585751886625
JACUI,1511.2676990601117,1608.4566273089245,1616.754481099505,1633.2527190352444,1573.1435277258004,1763.6695283817237,1734.6942347823212,1463.62678551231,1542.237824878483,1385.7564304198845,1817.602518923115
GAMBIA,753.8521874035312,1122.7483140984505,658.8355832860304,993.6781340514926,890.4807121814517,985.9524657062045,937.8324366905501,889.890013036594,887.4720759472115,921.1877355057137,900.8464940732105
DNIESTR,610.1531690674367,567.518001447382,742.66511027704,610.0411932683792,662.0025664561575,805.3472349116,799.4223001886965,777.6168869644176,665.5799351163267,644.6130211568686,795.2566817278058
SEINE,645.3163313343466,702.433404492824,814.4559151304019,735.0154398135749,766.6931060848848,836.45901162327,845.7332178356631,852.3458609329325,733.414138347902,665.9788823127714,807.1117313719499
PO,823.4807974679195,1238.3482911144608,1306.124087486852,1148.5005828369463,962.8867508725771,1190.6619609087995,1101.4239058393591,1054.9961968112184,941.2558905285944,967.0189043957195,1089.1042782659242
JAGUARIBE,888.5385414093013,709.796350941832,726.3798600033733,743.6764456766457,782.056640875317,906.5558749831043,876.226209369985,1059.3339811565697,868.1668184190123,725.2456754549877,867.732771883544
UVS NUUR,164.27952951405317,364.44688299881955,349.9568130455249,330.1940528116696,194.75964704818253,266.47525987782626,232.78322946884396,464.0338739831635,256.2364314322923,339.57244104658014,
GASCOYNE,354.82787642003575,232.11808402564776,220.42383014338583,216.5163896921103,258.03206933854193,281.2994061080227,287.9734301356867,261.0677598714358,354.7029869659949,231.29661171075605,283.2282190349464
ZHEM,220.33193451686208,178.0401567380781,257.04759108962276,219.31569057044308,200.1036936388004,301.65130585531284,316.566051361316,381.17798900175666,251.19385575166507,164.77704351097182,271.4353444265463
SASSANDRA,995.7625484828471,1691.862985907889,1396.1769930431335,1607.4605275676902,1378.0813122617626,1474.6587461393854,1419.2161698841992,1485.1502414450763,1285.9298610509059,1311.3964666795534,1370.770605416175
MAHAKAM,2874.83508310825,3127.1379548978593,3430.7108115522606,3297.7776795861732,3279.025941092018,3552.8713971808334,3308.862501311153,2329.7918582017337,2874.796949046861,3517.0264750434594,3200.4345593378544
MEZEN,553.505392205909,580.5118853365227,685.0803610774542,584.2422340237092,560.5969692983747,746.0497825877635,754.6357351572753,774.6299303800645,847.4580162511978,662.2721621239268,
SACRAMENTO,771.0495368890194,702.5112052708977,856.7768288186908,742.6227447343051,763.2736188752579,749.5916750045297,778.656647041417,848.3083499294323,731.8066015820617,751.1660315122774,770.1332808270627
YAQUI,528.2480459687085,527.703483899632,518.5130551997705,466.46898852959805,534.6191756057758,594.0914113523387,594.3387086185321,778.3392395400891,501.4290936286523,548.0041160997823,578.6728748076416
ROPER,1085.2150491468692,831.3321391419009,906.2884564680787,971.1402865602067,953.1678381911576,1126.7648392897809,1026.8536615851526,1228.6278451613994,1122.6097075934601,891.3146084207286,1035.6646951927175
ASHBURTON,387.83092603819654,279.41578227097676,252.14975489570142,279.4813794169917,318.05700003886744,346.87266832435125,356.75767891226656,296.6962158425396,404.2343135437943,289.7555918580296,356.40816049389406
CAUVERY,989.6215816841298,1053.7756533320794,1302.8549335103357,1195.3099522872349,1083.2051398761935,1501.4773379525823,1240.7261492599127,724.1117722068644,1214.0731054957796,1032.1399462545198,1260.7354133484903
MAMBERAMO,2514.171377363652,3074.6212543266315,4848.541901628805,3414.6775295741995,3280.01213415163,4060.4360531173784,3619.563655998861,5172.506595392084,2505.9324763104764,3148.448827795957,3714.955018141164
RUKWA,854.9517309746589,880.5949374180194,1020.23038380775,902.941360361305,970.4222603444665,986.9043389920851,1046.7111706316746,585.2091395499119,1009.0477267269423,914.6697182908138,1025.5085241064405
SEPIK,2540.9401102093275,2937.59226843203,4338.0813061476365,3231.5159420305645,3054.991739726868,3846.530489670109,3758.504703458075,4337.593673135574,2452.981903032996,3098.3241505187716,3698.2119670417183
KIZILIRMAK,447.16979008083246,378.6501286517041,529.0633253671289,470.72608704047343,446.8266701641358,630.9905668857813,544.7789338404973,618.5098928555495,482.81028130564437,459.98162627510055,565.0634736937201
DOCE,1200.3688802134882,1176.492467636414,1243.4381751281273,1330.4784885647443,1315.9600622511662,1462.6536930895677,1400.6063902138435,1364.01841904502,1187.8861252036068,1346.224086045683,1407.7991480426003
COMOE,1033.7832125727027,1333.495549062359,1036.5629589364446,1157.837768666551,1082.114443965103,1179.4936536343118,1124.4188302380983,1161.5830995153663,1174.8351273342137,1032.3220531237016,1084.629724219726
KAPUAS,3440.300111611853,3657.5480518066747,3420.993879054986,3837.936298791742,3894.156374392238,3944.667900996473,3854.559187280777,3405.8939152507546,3472.8175495292016,3738.441713824689,3661.54038085411
SAN JOAQUIN,437.04644697086553,409.7296858200472,545.6707755681274,417.14227212203457,438.6720876764968,459.6398445348026,460.9201265200405,529.6078121118428,462.364104707811,466.67901851958294,444.54680014753376
CUYUNI,1591.157106418584,2123.593081422058,1799.5373438835861,2253.018210313713,2153.961287492604,2321.625287801484,2227.4521649852745,2210.512179818832,1583.2396206718163,2035.83741591764,2256.884408452733
EBRO,477.1638176787792,670.095555234129,650.8497576128063,625.7879432237605,577.0950879365507,712.4360683273705,691.9849197170662,577.7467513324424,576.123133051462,615.162532118572,696.7544350077237
MEGHNA,2124.513892274281,3048.009884164738,2551.490521303632,2761.7793604239732,2798.5013344761123,2430.8535092288084,2813.8331304032604,2318.6872065450416,2090.3751408861663,2983.7846372627782,2834.542798035385
DAUGAVA,655.7930639436585,695.4847136870706,786.9552974310666,704.978047629509,720.2106437226814,915.90327719825,925.6235575374478,828.8330322655678,848.6820532675745,678.5362203243849,
MURCHISON,314.41624935046514,221.0872479395204,226.1488765435075,211.927560864945,239.62927851084518,255.28537730908556,268.814984103137,280.1374611139281,318.5090145997213,214.66509554729714,261.25526362289077
SAGUENAY,733.5436717672088,931.3794753013084,1125.625798618123,996.5396260237328,824.7773071272841,999.3347610969015,1018.1668880050318,1133.1115980541758,955.64599722005,818.3683216988579,
BANCANNIA LAKE,334.05945444958013,236.92034313422056,284.1582776722239,263.36880099370717,280.00094211576703,302.0004228056409,301.6171750026667,494.0268595547218,338.5370001057804,280.0106208585638,307.1113922439918
PANUCO,847.724966462805,937.7384731552899,1004.8864046502633,1010.2517365719789,789.1735660540908,803.285950190157,848.315906113422,888.1038848130999,912.5087115101584,800.4598728361792,863.9854500497104
ANABAR,233.71127885301743,248.27642059196597,340.0276835133859,245.67131828707912,247.3129481698652,331.0082242070828,317.8828142946435,354.47552216381365,451.6192648860445,352.0321185486706,
BACK,294.1202199576778,224.32009897304275,362.15160686777125,224.412328539675,228.08212866469722,264.31756500559476,,373.94621774363725,491.2723615287915,300.51113498433455,
NEMAN,677.3688684762791,654.0168727153695,757.1086091615518,669.9764562951528,706.9943508357658,870.1933669460925,896.0954007549926,814.5580850858609,775.7223175121674,654.5793137216774,
CHURCHILL (East),800.8278908912865,864.5528888189659,1011.0037578706524,850.7823535919439,884.2497802714722,859.6170292242881,919.1259003423136,1053.5050534625357,1004.9013366906283,1011.2267440511371,
TANA,676.2760086253007,684.8982162483179,603.0139865381409,670.4527261673153,594.0327988735843,527.5167850976,633.263957178621,433.42052542708143,596.158120660614,589.0058396768912,627.8311099523514
FITZROY (West),774.2478353611853,502.1552493014915,560.0813863733082,682.0077025554598,705.8430809147357,844.6870689556587,761.8755576707839,863.3537617721468,821.0329429267331,604.7664508207118,747.7255177137645
DRAA,134.05741865824191,152.43769018690574,105.79300872441877,154.58147758542248,154.12127740359878,161.27259595523998,143.00988752667257,119.1234547809509,163.29092028641548,152.76233255914377,146.90265471494578
NARMADA,1231.3611144762629,1139.4551429967835,1230.8642689739956,1073.4702305440305,1192.8063726101066,1148.8104619445107,1200.358769608556,1110.7334577169838,1186.5855010891562,1234.9440339466087,1228.306036242968
LA GRANDE,692.3419536406391,736.142333942473,921.9500075752698,768.2401580661642,756.5744104879891,770.4914404316676,822.8183067911489,993.6385382401797,899.6089247531606,861.6048842806707,
RHONE,825.1807512266545,1099.8809868455858,1173.2995538048954,1013.4957207134539,1029.132098553267,1121.1755162365555,1120.3921787798995,1029.507984278,915.6641765420488,1036.3771153075825,1118.0831240333891
DOURO,552.7450026860406,598.1943227516726,632.9694208039796,622.0021874358514,575.3727165383982,740.3853568822773,696.2889217259569,563.9808125679775,580.0671646572193,673.9341831854741,701.8467880150429
BANDAMA,990.2315853315652,1369.51734199981,1137.879422157466,1274.1213356141657,1116.520996384526,1226.786354048101,1184.2382306022405,1232.9456890829272,1165.3111430716385,1031.4486114779997,1143.5310014034444
VICTORIA,830.7251148189152,541.041854939804,717.9951659028372,728.577191695664,756.0814967706427,833.1503699159026,810.9861320465936,1190.2218390820613,878.7110712245161,685.0711132168042,814.6511169230773
SEVERN,485.86066763900436,580.4896075268058,696.6482812870752,620.5460253451187,624.0147075363077,602.8357398067283,597.9413416151064,717.7138598097285,706.9152513362475,644.5739045707885,
SAVE,719.944263268005,721.4508839931705,704.3756284459623,702.2613117896569,630.2450917884914,669.8664013353846,683.6799709288855,702.6672653529254,708.3929025454809,648.7486924065417,673.0130314590824
HAYES,516.1591166162125,520.3133894332724,645.6859938683418,545.3836451743692,543.06036877522,539.3537641067098,558.5092617931949,671.2645842692334,686.5775763325562,531.235458411926,
MOOSE,721.1490249641454,778.9950933295165,846.6822382629283,819.8399050806626,774.0427908218788,783.2801890822594,786.9828237097856,906.0835909807954,856.7635277439076,766.10022633059,
FLINDERS,653.7442545845548,362.72567659436413,536.3892090220168,515.665324816731,581.2136422484904,619.2341708315903,626.3013611517508,982.5692828891985,698.270856264964,555.6381240244059,615.2888229433703
LAKE TURKANA,641.4428686971421,759.5488746974577,1175.1273299436648,878.6424563490918,952.0784091851044,845.8763834192893,966.4188561650241,802.0961434853995,926.6401946056828,897.4916275149883,957.792031279464
KUNENE,378.60238910844095,629.0089489797804,884.1408139952888,691.2329674081044,760.7244605044972,820.8130135851264,785.1690470535324,802.6493519255615,1009.3275959756827,888.327879466104,861.1073013825144
COLORADO,593.0938977549528,568.7473726618183,569.8690360922981,538.9282462159853,572.8807565776419,632.4707776898376,635.8369778696295,806.2605345827976,601.4908778793291,549.1917615134596,615.7505747449993
PUR,534.7778425098866,444.8035320323485,579.6895420539213,515.970401457955,527.4198220512484,842.236361821028,849.4017551799852,655.1985731080711,688.3059606178361,552.1523822069016,
